originalName,commonName
"Morningstar, Richard L",Richard Morningstar
rverma,Richard Verma
"Verma, Richard",Richard Verma
"Verma, Richard R",Richard Verma
VermaRR@state.gov,Richard Verma
rsloan,Rick Sloan
"H:Fallon, Rob",Rob Fallon
"Ballard, Robert",Robert Ballard
"Barnett, Robert B",Robert Barnett
"Blake, Robert O",Robert Blake
BlakeR2@State.gov,Robert Blake
"Danford, Robert A",Robert Danford
EinhornRJ@state.gov,Robert Einhorn
"Gates, Robert M",Robert Gates
r_m_gates,Robert Gates
"E:Hormats, Bob",Robert Hormats
"Hormats, Bob",Robert Hormats
"Hormats, Robert D",Robert Hormats
hormatsrd@state.gov,Robert Hormats
"Hunter, Robert",Robert Hunter
"Kagan, Robert",Robert Kagan
robert.kagan,Robert Kagan
"Mueller, Rober S","Robert Mueller, III"
"Russo, Robert",Robert Russo
"Russo, Robert  V",Robert Russo
"Russo, Robert V",Robert Russo
RussoRV@state.gov,Robert Russo
"Jacobson, Roberta S",Roberta Jacobson
JacobsonRS@state.gov,Roberta Jacobson
"Klain, Ron",Ron Klain
RooneyM@state.gov,rooneym@state.gov
"Howe, Rosemarie",Rosemarie Howe
rosemarie.howe ;H,Rosemarie Howe ;Hillary Clinton
Roy.Spence,Roy Spence
"Spence, Roy",Roy Spence
rrh.interiors,rrh.interiors
rrussony,rrussony
"Crocker, Ryan C",Ryan Crocker
S,S
"Zaidi, S Akbar",S. Akbar Zaidi
S/CIEA:Pascual and S/EEE Morningstar,S/CIEA:Pascual; S/EEE Morningstar
"Jalili, Saeed",Saeed Jalili
"Berger, Samuel","Samuel (""Sandy"") Berger"
"Berger, Samuel R","Samuel (""Sandy"") Berger"
Sandy,"Samuel (""Sandy"") Berger"
SBerger,"Samuel (""Sandy"") Berger"
shb55,"Samuel (""Sandy"") Berger"
"IO/UNP:Debbink, Sarah",Sarah Debbink
"Teich, Sarah F",Sarah Teich
"Chambliss, Saxby",Saxby Chambliss
"Gration, Scott",Scott Gration
sgration,Scott Gration
"Carroll, Sean",Sean Carroll
See Distribution,See Distribution
Sheldon_Whitehouse2@Whitehouse.senate.gov,Sheldon Whitehouse
"Whitehouse, Sheldon",Sheldon Whitehouse
"Pesaru, Shilpa",Shilpa Pesaru
Shongole37,Shongole37; Hillary Clinton
"Blumenthal, Sidney",Sidney Blumenthal
Sbwhoeop,Sidney Blumenthal
sbwhoeop@,Sidney Blumenthal
sbwhoep,Sidney Blumenthal
sbwhoop,Sidney Blumenthal
SID,Sidney Blumenthal
"Hecker, Sig",Sig Hecker
"Feridun, Sinirlioglu",Sinirlioglu Feridun
Sir,Sir
S/SRGIA,SRGIA
STATE,STATE
"Heintz, Stephen B",Stephen Heintz
Stephen.Roach,Stephen Roach
"Bondy, Steve",Steve Bondy
"Bosworth, Steve",Steve Bosworth
"NES/ELA:Conlon, Steve",Steve Conlon
SCHU,Steven Chu
"Schneebaum, Steven M.",Steven Schneebaum
STALBOTT,Strobe Talbott
stallbott,Strobe Talbott
"Strobe, Talbott",Strobe Talbott
"Talbott, Strobe",Strobe Talbott
"Kim, Sung Y",Sung Kim
"IO:Edmonson, Susan",Susan Edmonson
"Rice, Susan E",Susan Rice
"Rice, Susan E.",Susan Rice
RiceSE@state.gov,Susan Rice
"Grantham, Suzanne L",Suzanne Grantham
Sylan Support Group,Syrian Support Group
Syrian Support Group,Syrian Support Group
"SRAP/P:Lenderking, T",T Lenderking
"Cownie, T.M. Franklin",T.M. Franklin Cownie
Iuzzatto,Tamera Luzzatto
Terry.Duffy,Terry Duffy
"Murphy, Terry B.",Terry Murphy
"USUN/HC:Buda, Thomas",Thomas Buda
"Countryman, Thomas",Thomas Countryman
Donilon,Thomas Donilon
"Donilon, Thomas E",Thomas Donilon
"Donilon, Thomas E.",Thomas Donilon
"Donilon, Thomas I",Thomas Donilon
"Donilon, Tom",Thomas Donilon
Thomas_E._Donilon,Thomas Donilon
Thomas_E._Donilon;H,Thomas Donilon; Hillary Clinton
"Nides, Thomas",Thomas Nides
"Nides, Thomas R",Thomas Nides
NidesTR@state.gov,Thomas Nides
tom.nides,Thomas Nides
thomas.r.pickering,Thomas Pickering
"Shannon, Thomas A",Thomas Shannon
shannonta@state.gov,Thomas Shannon
"WHA: Shannon, Thomas A",Thomas Shannon
Tina.BrownNY,Tina Brown
"Flournoy, Tina",Tina Flournoy
TFlourno,Tina Flournoy
"Stern, Todd",Todd Stern
"Stern, Todd D",Todd Stern
"Stern, Todd D (S/SECC)",Todd Stern
sterntd@state.gov,Todd Stern
"Harkin, Tom",Tom Harkin
"Tillemann, Tomicah",Tomicah Tillemann
"Tillemann, Tomicah S",Tomicah Tillemann
TillemannTS@state.gov,Tomicah Tillemann
aclb,Tony Blair
"Elbegdori, Tsakina",Tsakina Elbegdori
USDHS,U.S. Department of Homeland Security
U.S. Dept of State Protocol,U.S. Dept of State Protocol
U.S. Global Leadership Coalition,U.S. Global Leadership Coalition
UN General Assembly,UN General Assembly
United States Mission to the United Nations,United States Mission to the United Nations
Estados Unidos Da America,United States of America
Estados Unidos De NorteAmerica,United States of America
Etat-Unis D'Amerique,United States of America
Etats-Unis D'Amerique,United States of America
United States of America,United States of America
USA,USA
USAID,USAID
USCIS,USCIS
USUN,USUN
valerie,Valerie Wilson
"Wilson, Valerie",Valerie Wilson
"Nuland, Victoria J",Victoria Nuland
"Varma, Vivek",Vivek Varma
"Ebeling, Voda",Voda Ebeling
"Ebelling, Voda",Voda Ebeling
Wall Street Journal,Wall Street Journal
"Isaacson, Walter",Walter Isaacson
"NEA:Parrs, Walter",Walter Parrs
Washington Post,Washington Post
Wen Jiabao,Wen Jiabao
"Sherman, Wendy",Wendy Sherman
"Sherman, Wendy R",Wendy Sherman
ShermanWR@state.gov,Wendy Sherman
wsherman,Wendy Sherman
"Ilic, Werner X",Werner Ilic
WHADP,WHADP
White House,White House
Whom It May Concern,Whom It May Concern
"Burns, William J",William Burns
Burnswj@state.gov,William Burns
wburns,William Burns
wburns66,William Burns
wburns66@,William Burns
"Hubbard, William",William Hubbard
World Bank,World Bank
www.oecd.org,www.oecd.org
"Yakis, Yasar",Yasar Yakis
"Gilani, Yousaf Raza",Yousaf Gilani
PM Gilani,Yousaf Gilani
Museveni,Yoweri Museveni
"Iscol, Zachary",Zachary Iscol
